[0015];[261,230,20];"[""nada""]"
[0015];[142,343];"[""nada""]"
[0016];[327,59,236,286,366];"[""nada""]"
[0016];[190,303];"[""encanto"",""fogo""]"
[0016];[40,361];"[""nada""]"
[0016];[367];"[""nada""]"
[0016];[268,116];"[""nada""]"
[0016];[218];"[""encanto"",""copia""]"
[0017];[31];"[""encanto"",""ilusao""]"
[0017];[249];"[""nada""]"
[0017];[36,262,128,152,16];"[""nada""]"
[0017];[274,335,78];"[""nada""]"
[0019];[302,215];"[""nada""]"
[0019];[79,100];"[""teste"",""sorte"",""#opcao1"",""#opcao2""]"
[0019];[245];"[""encanto-item"",""ouro"",""adiciona"",""Adaga de Arremesso Encantada, causa 2 de dano automático""]"
[0019];[99,180];"[""luta-fugir"",""GARK"",7,11,4,""#opcao1""]"
[0019];[93];"[""nada""]"
[0020];[84,31];"[""nada""]"
[0020];[363,254];"[""nada""]"
[0020];[288,96];"[""nada""]"
[0020];[6];"[""atributo"",""adiciona"",""sorte"",2]"
[0020];[188];"[""nada""]"
[0020];[169];"[""nada""]"
[0022];[372,219];"[""nada""]"
[0022];[206,133,239];"[""nada""]"
[0022];[87,345,101,304];"[""nada""]"
[0022];[206];"[""atributo-duplo"",""retira"",""ouro"",""tudo"",""adiciona"",""sorte"",1]"
[0022];[243,2];"[""encanto"",""fogo""]"
[0023];[271,131];"[""nada""]"
[0023];[241];"[""luta"",""FERA DAS GARRAS"",9,14]"
[0023];[169];"[""nada""]"
[0023];[251];"[""nada""]"
[0023];[213];"[""encanto"",""levitacao""]"
[0023];[89,237];"[""item-duplo"",""retira"",""Chave de Prata"",""adiciona"",""Chave Verde Cintilante""]"
[0023];[364,246];"[""encanto"",""ilusao""]"
[0024];[234];"[""encanto"",""ouro""]"
[0024];[229];"[""item"",""retira"",""Velo de Ouro""]"
[0024];[132,306];"[""nada""]"
[0024];[208,248];"[""luta-especial"",""HOMEM-ARANHA"",7,5,1,""#opcao1""]"
[0026];[243,2];"[""nada""]"
[0026];[257];"[""nada""]"
[0026];[138,91,223,64,304];"[""nada""]"
[0026];[14];"[""encanto-atributo"",""fraqueza"",""retira"",""energia"",1]"
[0026];[353,277];"[""nada""]"
[0026];[166,313,253,97];"[""nada""]"
[0027];[195,74];"[""encanto"",""fogo""]"
[0027];[8,173,259,209];"[""nada""]"
[0027];[232,199];"[""encanto"",""ilusao""]"
[0027];[255];"[""nada""]"
[0027];[164];"[""nada""]"
[0027];[301,159,280];"[""nada""]"
[0029];[385,227];"[""nada""]"
[0029];[194];"[""item"",""retira"",""Punhado de Pequenas Amoras""]"
[0029];[287,160,27,104];"[""nada""]"
[0029];[249,10];"[""nada""]"
[0029];[120,163,334,95];"[""nada""]"
[0030];[150,233];"[""teste"",""sorte"",""#opcao1"",""#opcao2""]"
[0030];[298,267,92,156];"[""nada""]"
[0030];[140];"[""item"",""retira"",""Vidro contendo o Homem-Aranha""]"
[0030];[33,295,213];"[""nada""]"
[0030];"[""Fim""]";"[""fim""]"
[0030];[140];"[""teste-atributo"",""sorte"",""ouro"",""adiciona"",10]"
[0030];[263,135];"[""nada""]"
[0032];[286,3,366];"[""nada""]"
[0032];"[""Fim""]";"[""fim""]"
